FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  66.004         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  32.926         	|  2              	|  65.851         	|  99.768         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.048766       	|  842            	|  41.061         	|  62.21          	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.015214       	|  842            	|  12.81          	|  19.408         	|
|  run_training_batch                                        	|  0.0058539      	|  842            	|  4.929          	|  7.4676         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0058156      	|  842            	|  4.8967         	|  7.4188         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.00263        	|  842            	|  2.2144         	|  3.355          	|
|  [_EvaluationLoop].val_next                                	|  0.014461       	|  96             	|  1.3882         	|  2.1032         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0016118      	|  842            	|  1.3571         	|  2.0561         	|
|  optimizer_step                                            	|  0.0010704      	|  842            	|  0.90125        	|  1.3654         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0010571      	|  842            	|  0.89004        	|  1.3485         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0035742      	|  96             	|  0.34312        	|  0.51985        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0010226      	|  96             	|  0.098174       	|  0.14874        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.0006039      	|  96             	|  0.057975       	|  0.087835       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.4274e-05     	|  938            	|  0.050909       	|  0.07713        	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.02467        	|  1              	|  0.02467        	|  0.037377       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.9412e-05     	|  938            	|  0.018208       	|  0.027587       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.017994       	|  1              	|  0.017994       	|  0.027262       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  6.1452e-05     	|  96             	|  0.0058994      	|  0.0089379      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  5.3486e-05     	|  96             	|  0.0051346      	|  0.0077792      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.004255       	|  1              	|  0.004255       	|  0.0064466      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0019941      	|  2              	|  0.0039882      	|  0.0060423      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.9057e-06     	|  842            	|  0.0032886      	|  0.0049824      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.6269e-05     	|  96             	|  0.0025218      	|  0.0038206      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00073315     	|  3              	|  0.0021995      	|  0.0033323      	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.00062254     	|  3              	|  0.0018676      	|  0.0028296      	|
|  [Callback]CLPylogger.on_train_batch_end                   	|  2.0482e-06     	|  842            	|  0.0017246      	|  0.0026128      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  2.0162e-06     	|  842            	|  0.0016976      	|  0.002572       	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.9433e-06     	|  842            	|  0.0016363      	|  0.0024791      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.8387e-06     	|  842            	|  0.0015482      	|  0.0023456      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0015107      	|  1              	|  0.0015107      	|  0.0022887      	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00071456     	|  2              	|  0.0014291      	|  0.0021652      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.4069e-06     	|  938            	|  0.0013197      	|  0.0019994      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.5501e-06     	|  842            	|  0.0013052      	|  0.0019774      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00042908     	|  3              	|  0.0012873      	|  0.0019503      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.00056083     	|  2              	|  0.0011217      	|  0.0016994      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.2114e-06     	|  842            	|  0.00102        	|  0.0015454      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.1333e-06     	|  842            	|  0.0009542      	|  0.0014457      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  1.0745e-06     	|  842            	|  0.00090473     	|  0.0013707      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.0606e-06     	|  842            	|  0.00089303     	|  0.001353       	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  1.043e-06      	|  842            	|  0.00087824     	|  0.0013306      	|
|  [Callback]SaveFirstBatchImages.on_before_optimizer_step   	|  1.0191e-06     	|  842            	|  0.00085811     	|  0.0013001      	|
