FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  60.91          	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  30.361         	|  2              	|  60.722         	|  99.691         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.045078       	|  842            	|  37.955         	|  62.313         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.014468       	|  842            	|  12.182         	|  20.0           	|
|  run_training_batch                                        	|  0.004813       	|  842            	|  4.0526         	|  6.6533         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0047774      	|  842            	|  4.0226         	|  6.6041         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0024253      	|  842            	|  2.0421         	|  3.3526         	|
|  [_EvaluationLoop].val_next                                	|  0.013472       	|  96             	|  1.2933         	|  2.1233         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0015056      	|  842            	|  1.2677         	|  2.0813         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.00097813     	|  842            	|  0.82359        	|  1.3521         	|
|  optimizer_step                                            	|  0.00086465     	|  842            	|  0.72803        	|  1.1953         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.003235       	|  96             	|  0.31056        	|  0.50986        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0007856      	|  96             	|  0.075418       	|  0.12382        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00056167     	|  96             	|  0.05392        	|  0.088524       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.0804e-05     	|  938            	|  0.047655       	|  0.078237       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.029854       	|  1              	|  0.029854       	|  0.049013       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.7805e-05     	|  938            	|  0.016701       	|  0.027418       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.011881       	|  1              	|  0.011881       	|  0.019506       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0018468      	|  3              	|  0.0055405      	|  0.0090961      	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  5.7372e-05     	|  96             	|  0.0055077      	|  0.0090424      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.4998e-05     	|  96             	|  0.0043198      	|  0.007092       	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0018273      	|  2              	|  0.0036545      	|  0.0059999      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.7941e-06     	|  842            	|  0.0031947      	|  0.0052449      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0027914      	|  1              	|  0.0027914      	|  0.0045828      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.4016e-05     	|  96             	|  0.0023055      	|  0.0037851      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00063203     	|  3              	|  0.0018961      	|  0.0031129      	|
|  [Callback]CULPylogger.on_train_batch_end                  	|  1.9105e-06     	|  842            	|  0.0016086      	|  0.002641       	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.8515e-06     	|  842            	|  0.0015589      	|  0.0025594      	|
