FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  72.447         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  36.093         	|  2              	|  72.185         	|  99.638         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.054167       	|  842            	|  45.609         	|  62.954         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.015469       	|  842            	|  13.025         	|  17.979         	|
|  run_training_batch                                        	|  0.0068148      	|  842            	|  5.738          	|  7.9203         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0067696      	|  842            	|  5.7            	|  7.8678         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0026648      	|  842            	|  2.2438         	|  3.0971         	|
|  [_EvaluationLoop].val_next                                	|  0.020897       	|  96             	|  2.0061         	|  2.769          	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0016192      	|  842            	|  1.3633         	|  1.8818         	|
|  optimizer_step                                            	|  0.0014063      	|  842            	|  1.1841         	|  1.6345         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0010518      	|  842            	|  0.88564        	|  1.2225         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0039038      	|  96             	|  0.37476        	|  0.51729        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0015833      	|  96             	|  0.152          	|  0.20981        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00083229     	|  96             	|  0.0799         	|  0.11029        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.6528e-05     	|  938            	|  0.053024       	|  0.073189       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.02864        	|  1              	|  0.02864        	|  0.039532       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  2.0306e-05     	|  938            	|  0.019047       	|  0.026291       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.017153       	|  1              	|  0.017153       	|  0.023676       	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  0.00010852     	|  96             	|  0.010418       	|  0.014381       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0025121      	|  3              	|  0.0075362      	|  0.010402       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  6.2325e-05     	|  96             	|  0.0059832      	|  0.0082588      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0025019      	|  2              	|  0.0050038      	|  0.0069069      	|
|  [LightningModule]AmnesiacHAT.on_train_end                 	|  0.0039628      	|  1              	|  0.0039628      	|  0.00547        	|
