FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  18580          	|  16.704         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  6.9428         	|  2              	|  13.886         	|  83.127         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.020981       	|  356            	|  7.4692         	|  44.714         	|
|  [LightningDataModule]SplitMNIST.setup                     	|  2.7134         	|  1              	|  2.7134         	|  16.244         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.0057804      	|  356            	|  2.0578         	|  12.319         	|
|  run_training_batch                                        	|  0.0051795      	|  356            	|  1.8439         	|  11.039         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.005143       	|  356            	|  1.8309         	|  10.961         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0024667      	|  356            	|  0.87815        	|  5.2571         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0015546      	|  356            	|  0.55343        	|  3.3131         	|
|  optimizer_step                                            	|  0.0012786      	|  356            	|  0.45518        	|  2.7249         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0010181      	|  356            	|  0.36244        	|  2.1698         	|
|  [_EvaluationLoop].val_next                                	|  0.0054736      	|  42             	|  0.22989        	|  1.3762         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0032346      	|  42             	|  0.13585        	|  0.81328        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00098056     	|  42             	|  0.041183       	|  0.24654        	|
|  [LightningDataModule]SplitMNIST.prepare_data              	|  0.034509       	|  1              	|  0.034509       	|  0.20659        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.00060231     	|  42             	|  0.025297       	|  0.15144        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.2189e-05     	|  398            	|  0.020771       	|  0.12435        	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.8117e-05     	|  398            	|  0.0072104      	|  0.043165       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  0.00012156     	|  42             	|  0.0051054      	|  0.030564       	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0016023      	|  2              	|  0.0032047      	|  0.019185       	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0026864      	|  1              	|  0.0026864      	|  0.016082       	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00076901     	|  3              	|  0.002307       	|  0.013811       	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.9589e-05     	|  42             	|  0.0020828      	|  0.012468       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.00055337     	|  3              	|  0.0016601      	|  0.0099383      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0014982      	|  1              	|  0.0014982      	|  0.008969       	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.0007461      	|  2              	|  0.0014922      	|  0.0089331      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.753e-06      	|  356            	|  0.0013361      	|  0.0079985      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00038963     	|  3              	|  0.0011689      	|  0.0069975      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.0005444      	|  2              	|  0.0010888      	|  0.006518       	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.5126e-05     	|  42             	|  0.0010553      	|  0.0063175      	|
|  [Callback]CLPylogger.on_train_batch_end                   	|  1.992e-06      	|  356            	|  0.00070917     	|  0.0042454      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.9333e-06     	|  356            	|  0.00068824     	|  0.0041202      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.8563e-06     	|  356            	|  0.00066085     	|  0.0039562      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.6493e-06     	|  356            	|  0.00058716     	|  0.003515       	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.4776e-06     	|  356            	|  0.00052603     	|  0.0031491      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.2635e-06     	|  398            	|  0.00050287     	|  0.0030104      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.1825e-06     	|  356            	|  0.00042096     	|  0.0025201      	|
|  [LightningModule]AmnesiacHAT.on_before_backward           	|  1.1215e-06     	|  356            	|  0.00039925     	|  0.0023901      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.0771e-06     	|  356            	|  0.00038346     	|  0.0022956      	|
|  [Callback]CLPylogger.on_train_end                         	|  0.00037417     	|  1              	|  0.00037417     	|  0.0022399      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.0102e-06     	|  356            	|  0.00035962     	|  0.0021529      	|
|  [Callback]CLPylogger.on_before_optimizer_step             	|  9.9636e-07     	|  356            	|  0.00035471     	|  0.0021234      	|
|  [Callback]CLAccuracy.on_fit_start                         	|  0.00035292     	|  1              	|  0.00035292     	|  0.0021127      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  9.6043e-07     	|  356            	|  0.00034191     	|  0.0020469      	|
|  [Callback]SaveFirstBatchImages.on_before_optimizer_step   	|  9.424e-07      	|  356            	|  0.0003355      	|  0.0020084      	|
|  [Callback]CLLoss.on_before_backward                       	|  9.0974e-07     	|  356            	|  0.00032387     	|  0.0019388      	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  8.9009e-07     	|  356            	|  0.00031687     	|  0.0018969      	|
|  [Callback]CLLoss.on_fit_start                             	|  0.00031142     	|  1              	|  0.00031142     	|  0.0018643      	|
|  [Callback]RichProgressBar.on_before_backward              	|  8.7243e-07     	|  356            	|  0.00031059     	|  0.0018593      	|
|  [Callback]RichProgressBar.on_after_backward               	|  8.5449e-07     	|  356            	|  0.0003042      	|  0.0018211      	|
|  [Callback]RichModelSummary.on_before_backward             	|  8.4237e-07     	|  356            	|  0.00029988     	|  0.0017953      	|
|  [LightningModule]AmnesiacHAT.on_before_optimizer_step     	|  8.2888e-07     	|  356            	|  0.00029508     	|  0.0017665      	|
|  [Callback]RichModelSummary.on_train_batch_start           	|  8.2761e-07     	|  356            	|  0.00029463     	|  0.0017638      	|
|  [Callback]RichProgressBar.on_sanity_check_start           	|  0.00029212     	|  1              	|  0.00029212     	|  0.0017488      	|
|  [Callback]CLLoss.on_after_backward                        	|  8.1299e-07     	|  356            	|  0.00028943     	|  0.0017326      	|
|  [Callback]RichModelSummary.on_after_backward              	|  8.1107e-07     	|  356            	|  0.00028874     	|  0.0017285      	|
