FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  58.716         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  29.27          	|  2              	|  58.54          	|  99.699         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.043966       	|  842            	|  37.019         	|  63.047         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.013577       	|  842            	|  11.431         	|  19.469         	|
|  run_training_batch                                        	|  0.0044996      	|  842            	|  3.7887         	|  6.4525         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0044664      	|  842            	|  3.7607         	|  6.4049         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0023046      	|  842            	|  1.9405         	|  3.3048         	|
|  [_EvaluationLoop].val_next                                	|  0.013426       	|  96             	|  1.2889         	|  2.1951         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0014216      	|  842            	|  1.1969         	|  2.0385         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.00091871     	|  842            	|  0.77355        	|  1.3174         	|
|  optimizer_step                                            	|  0.00082841     	|  842            	|  0.69752        	|  1.1879         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0032289      	|  96             	|  0.30998        	|  0.52792        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.00086944     	|  96             	|  0.083466       	|  0.14215        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.0006202      	|  96             	|  0.059539       	|  0.1014         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  4.9719e-05     	|  938            	|  0.046636       	|  0.079426       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.022577       	|  1              	|  0.022577       	|  0.038451       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.6803e-05     	|  938            	|  0.015761       	|  0.026843       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.012083       	|  1              	|  0.012083       	|  0.020578       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0017652      	|  3              	|  0.0052955      	|  0.0090189      	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  5.2407e-05     	|  96             	|  0.005031       	|  0.0085684      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.6685e-05     	|  96             	|  0.0044818      	|  0.007633       	|
|  [Callback]SaveModels.on_train_batch_end                   	|  4.5253e-06     	|  842            	|  0.0038103      	|  0.0064894      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0017433      	|  2              	|  0.0034865      	|  0.0059379      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0027699      	|  1              	|  0.0027699      	|  0.0047175      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.4738e-05     	|  96             	|  0.0023749      	|  0.0040446      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00065906     	|  3              	|  0.0019772      	|  0.0033673      	|
|  [Callback]CLAccuracy.on_fit_start                         	|  0.0014847      	|  1              	|  0.0014847      	|  0.0025286      	|
|  [Callback]CULPylogger.on_train_batch_end                  	|  1.7555e-06     	|  842            	|  0.0014782      	|  0.0025175      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.6615e-06     	|  842            	|  0.001399       	|  0.0023826      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.6453e-06     	|  842            	|  0.0013853      	|  0.0023594      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0013283      	|  1              	|  0.0013283      	|  0.0022623      	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00062327     	|  2              	|  0.0012465      	|  0.002123       	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.4292e-06     	|  842            	|  0.0012034      	|  0.0020494      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.3498e-06     	|  842            	|  0.0011365      	|  0.0019356      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.2073e-06     	|  938            	|  0.0011324      	|  0.0019286      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00037018     	|  3              	|  0.0011105      	|  0.0018914      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.00048908     	|  2              	|  0.00097817     	|  0.0016659      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.0363e-06     	|  842            	|  0.00087254     	|  0.001486       	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.0331e-06     	|  842            	|  0.00086989     	|  0.0014815      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.0165e-06     	|  842            	|  0.00085586     	|  0.0014576      	|
|  [LightningModule]AmnesiacHAT.on_before_backward           	|  8.9598e-07     	|  842            	|  0.00075442     	|  0.0012848      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  8.6799e-07     	|  842            	|  0.00073085     	|  0.0012447      	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  8.6635e-07     	|  842            	|  0.00072946     	|  0.0012424      	|
|  [Callback]CLLoss.on_before_backward                       	|  8.2845e-07     	|  842            	|  0.00069756     	|  0.001188       	|
|  [Callback]CULPylogger.on_before_backward                  	|  8.1013e-07     	|  842            	|  0.00068213     	|  0.0011617      	|
