FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  73.89          	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  36.862         	|  2              	|  73.724         	|  99.775         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.054839       	|  842            	|  46.174         	|  62.49          	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.016673       	|  842            	|  14.039         	|  19.0           	|
|  run_training_batch                                        	|  0.0067381      	|  842            	|  5.6735         	|  7.6782         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0066941      	|  842            	|  5.6365         	|  7.6282         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.002921       	|  842            	|  2.4595         	|  3.3285         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0018222      	|  842            	|  1.5343         	|  2.0765         	|
|  [_EvaluationLoop].val_next                                	|  0.015579       	|  96             	|  1.4956         	|  2.024          	|
|  optimizer_step                                            	|  0.0013402      	|  842            	|  1.1284         	|  1.5272         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0011988      	|  842            	|  1.0094         	|  1.3661         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0040559      	|  96             	|  0.38937        	|  0.52696        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0010447      	|  96             	|  0.10029        	|  0.13573        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  6.2358e-05     	|  938            	|  0.058492       	|  0.07916        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00057269     	|  96             	|  0.054978       	|  0.074405       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.024883       	|  1              	|  0.024883       	|  0.033676       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  2.1765e-05     	|  938            	|  0.020416       	|  0.02763        	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.018173       	|  1              	|  0.018173       	|  0.024594       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  6.8558e-05     	|  96             	|  0.0065815      	|  0.0089072      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  5.7105e-05     	|  96             	|  0.0054821      	|  0.0074192      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0048226      	|  1              	|  0.0048226      	|  0.0065267      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0020315      	|  2              	|  0.004063       	|  0.0054986      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  4.4115e-06     	|  842            	|  0.0037145      	|  0.005027       	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.9606e-05     	|  96             	|  0.0028422      	|  0.0038465      	|
|  [Callback]RichProgressBar.on_after_backward               	|  3.1809e-06     	|  842            	|  0.0026783      	|  0.0036247      	|
|  [Callback]CLLoss.on_before_backward                       	|  2.9193e-06     	|  842            	|  0.0024581      	|  0.0033266      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.000804       	|  3              	|  0.002412       	|  0.0032643      	|
|  [Callback]CLPylogger.on_train_batch_end                   	|  2.4919e-06     	|  842            	|  0.0020982      	|  0.0028396      	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.00069918     	|  3              	|  0.0020975      	|  0.0028387      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  2.4357e-06     	|  842            	|  0.0020508      	|  0.0027755      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0019163      	|  1              	|  0.0019163      	|  0.0025935      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  2.189e-06      	|  842            	|  0.0018431      	|  0.0024944      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  2.0755e-06     	|  842            	|  0.0017476      	|  0.0023651      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00050779     	|  3              	|  0.0015234      	|  0.0020617      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.7647e-06     	|  842            	|  0.0014859      	|  0.0020109      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.5764e-06     	|  938            	|  0.0014786      	|  0.0020011      	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00071817     	|  2              	|  0.0014363      	|  0.0019439      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.4454e-06     	|  842            	|  0.001217       	|  0.001647       	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.00055127     	|  2              	|  0.0011025      	|  0.0014921      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.2752e-06     	|  842            	|  0.0010737      	|  0.0014531      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.2612e-06     	|  842            	|  0.0010619      	|  0.0014372      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  1.2247e-06     	|  842            	|  0.0010312      	|  0.0013956      	|
