FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  60.215         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  30.019         	|  2              	|  60.037         	|  99.705         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.044897       	|  842            	|  37.803         	|  62.78          	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.014136       	|  842            	|  11.903         	|  19.767         	|
|  run_training_batch                                        	|  0.0047227      	|  842            	|  3.9766         	|  6.6039         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0046893      	|  842            	|  3.9484         	|  6.5571         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.002327       	|  842            	|  1.9593         	|  3.2538         	|
|  [_EvaluationLoop].val_next                                	|  0.013623       	|  96             	|  1.3078         	|  2.1719         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0014374      	|  842            	|  1.2103         	|  2.0099         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.00093358     	|  842            	|  0.78608        	|  1.3054         	|
|  optimizer_step                                            	|  0.00088338     	|  842            	|  0.74381        	|  1.2352         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0031663      	|  96             	|  0.30396        	|  0.50479        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0007652      	|  96             	|  0.07346        	|  0.12199        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00053304     	|  96             	|  0.051172       	|  0.084981       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  4.999e-05      	|  938            	|  0.04689        	|  0.077871       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.022817       	|  1              	|  0.022817       	|  0.037892       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.728e-05      	|  938            	|  0.016208       	|  0.026917       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.011891       	|  1              	|  0.011891       	|  0.019748       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0018989      	|  3              	|  0.0056968      	|  0.0094607      	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  5.0961e-05     	|  96             	|  0.0048923      	|  0.0081246      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.3801e-05     	|  96             	|  0.0042049      	|  0.0069831      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0016494      	|  2              	|  0.0032988      	|  0.0054783      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.003034       	|  1              	|  0.003034       	|  0.0050385      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.5926e-06     	|  842            	|  0.003025       	|  0.0050236      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.2535e-05     	|  96             	|  0.0021633      	|  0.0035927      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00063451     	|  3              	|  0.0019035      	|  0.0031612      	|
|  [Callback]CULPylogger.on_train_batch_end                  	|  1.8537e-06     	|  842            	|  0.0015608      	|  0.002592       	|
|  [Callback]CLAccuracy.on_fit_start                         	|  0.001539       	|  1              	|  0.001539       	|  0.0025559      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.7645e-06     	|  842            	|  0.0014857      	|  0.0024674      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.7175e-06     	|  842            	|  0.0014461      	|  0.0024016      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0013193      	|  1              	|  0.0013193      	|  0.002191       	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00062477     	|  2              	|  0.0012495      	|  0.0020751      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.4347e-06     	|  842            	|  0.0012081      	|  0.0020062      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00038447     	|  3              	|  0.0011534      	|  0.0019155      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.2093e-06     	|  938            	|  0.0011343      	|  0.0018838      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.3297e-06     	|  842            	|  0.0011196      	|  0.0018593      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.0004956      	|  2              	|  0.00099121     	|  0.0016461      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.0385e-06     	|  842            	|  0.00087443     	|  0.0014522      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.0244e-06     	|  842            	|  0.00086253     	|  0.0014324      	|
|  [LightningModule]AmnesiacHAT.on_before_backward           	|  9.8483e-07     	|  842            	|  0.00082922     	|  0.0013771      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  9.5522e-07     	|  842            	|  0.0008043      	|  0.0013357      	|
|  [Callback]CLLoss.on_before_backward                       	|  9.292e-07      	|  842            	|  0.00078239     	|  0.0012993      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  9.1211e-07     	|  842            	|  0.000768       	|  0.0012754      	|
|  [LightningModule]AmnesiacHAT.on_before_optimizer_step     	|  8.9069e-07     	|  842            	|  0.00074996     	|  0.0012455      	|
|  [Callback]SaveModels.on_before_backward                   	|  8.4354e-07     	|  842            	|  0.00071026     	|  0.0011795      	|
|  [Callback]SaveFirstBatchImages.on_before_optimizer_step   	|  8.2272e-07     	|  842            	|  0.00069273     	|  0.0011504      	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  7.9291e-07     	|  842            	|  0.00066763     	|  0.0011087      	|
|  [Callback]RichProgressBar.on_after_backward               	|  7.7879e-07     	|  842            	|  0.00065574     	|  0.001089       	|
|  [Callback]RichModelSummary.on_before_backward             	|  7.4711e-07     	|  842            	|  0.00062907     	|  0.0010447      	|
|  [Callback]RichModelSummary.on_train_batch_start           	|  7.4493e-07     	|  842            	|  0.00062723     	|  0.0010417      	|
|  [Callback]RichModelSummary.on_after_backward              	|  7.4488e-07     	|  842            	|  0.00062719     	|  0.0010416      	|
|  [Callback]CULPylogger.on_before_optimizer_step            	|  7.4103e-07     	|  842            	|  0.00062395     	|  0.0010362      	|
|  [Callback]CLLoss.on_after_backward                        	|  7.3748e-07     	|  842            	|  0.00062096     	|  0.0010312      	|
|  [Callback]CULPylogger.on_after_backward                   	|  7.3503e-07     	|  842            	|  0.00061889     	|  0.0010278      	|
|  [Callback]RichProgressBar.on_before_optimizer_step        	|  7.3083e-07     	|  842            	|  0.00061535     	|  0.0010219      	|
|  [Callback]RichProgressBar.on_before_backward              	|  7.2651e-07     	|  842            	|  0.00061172     	|  0.0010159      	|
|  [Callback]CULPylogger.on_before_backward                  	|  7.0929e-07     	|  842            	|  0.00059722     	|  0.00099182     	|
|  [LightningModule]AmnesiacHAT.on_train_end                 	|  0.00059708     	|  1              	|  0.00059708     	|  0.00099158     	|
|  [Callback]CULPylogger.on_train_batch_start                	|  7.0897e-07     	|  842            	|  0.00059695     	|  0.00099137     	|
|  [Callback]RichModelSummary.on_before_optimizer_step       	|  7.0138e-07     	|  842            	|  0.00059057     	|  0.00098076     	|
|  [LightningModule]AmnesiacHAT.on_train_batch_start         	|  6.9968e-07     	|  842            	|  0.00058913     	|  0.00097837     	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start       	|  6.9813e-07     	|  842            	|  0.00058783     	|  0.00097621     	|
|  [Callback]RichProgressBar.on_train_batch_start            	|  6.8624e-07     	|  842            	|  0.00057781     	|  0.00095958     	|
|  [Callback]SaveModels.on_before_optimizer_step             	|  6.7596e-07     	|  842            	|  0.00056916     	|  0.00094521     	|
|  [LightningModule]AmnesiacHAT.on_after_backward            	|  6.7566e-07     	|  842            	|  0.00056891     	|  0.00094479     	|
|  [Callback]SaveFirstBatchImages.on_train_batch_start       	|  6.7465e-07     	|  842            	|  0.00056806     	|  0.00094338     	|
|  [Callback]SaveModels.on_train_batch_start                 	|  6.7131e-07     	|  842            	|  0.00056524     	|  0.0009387      	|
|  [Callback]SaveFirstBatchImages.on_after_backward          	|  6.5939e-07     	|  842            	|  0.0005552      	|  0.00092203     	|
|  [Callback]SaveModels.on_after_backward                    	|  6.4401e-07     	|  842            	|  0.00054226     	|  0.00090053     	|
|  [LightningModule]AmnesiacHAT.on_after_batch_transfer      	|  5.4512e-07     	|  938            	|  0.00051132     	|  0.00084916     	|
|  [LightningModule]AmnesiacHAT.on_train_start               	|  0.0004385      	|  1              	|  0.0004385      	|  0.00072822     	|
|  [Callback]RichProgressBar.on_sanity_check_start           	|  0.00038621     	|  1              	|  0.00038621     	|  0.00064138     	|
|  [Callback]CULPylogger.on_train_end                        	|  0.00035279     	|  1              	|  0.00035279     	|  0.00058588     	|
|  [Callback]CLLoss.on_fit_start                             	|  0.00032721     	|  1              	|  0.00032721     	|  0.0005434      	|
|  [Callback]RichProgressBar.on_sanity_check_end             	|  0.000322       	|  1              	|  0.000322       	|  0.00053475     	|
|  [LightningModule]AmnesiacHAT.on_validation_model_eval     	|  8.9944e-05     	|  3              	|  0.00026983     	|  0.00044811     	|
|  [LightningModule]AmnesiacHAT.on_validation_model_zero_grad	|  0.00010329     	|  2              	|  0.00020658     	|  0.00034307     	|
|  [LightningDataModule]PermutedMNIST.val_dataloader         	|  0.00017092     	|  1              	|  0.00017092     	|  0.00028384     	|
|  [Callback]RichProgressBar.on_validation_end               	|  5.075e-05      	|  3              	|  0.00015225     	|  0.00025284     	|
|  [Callback]RichProgressBar.on_train_epoch_end              	|  7.4812e-05     	|  2              	|  0.00014962     	|  0.00024848     	|
|  [Callback]CLAccuracy.on_validation_batch_start            	|  1.4062e-06     	|  96             	|  0.00013499     	|  0.00022419     	|
|  [LightningDataModule]PermutedMNIST.train_dataloader       	|  0.00012796     	|  1              	|  0.00012796     	|  0.0002125      	|
|  [LightningModule]AmnesiacHAT.configure_optimizers         	|  0.00012375     	|  1              	|  0.00012375     	|  0.00020551     	|
|  [Callback]CULPylogger.on_fit_start                        	|  0.00011096     	|  1              	|  0.00011096     	|  0.00018427     	|
|  [Callback]CULPylogger.on_validation_batch_end             	|  1.132e-06      	|  96             	|  0.00010867     	|  0.00018047     	|
|  [Callback]SaveModels.on_validation_batch_end              	|  1.1241e-06     	|  96             	|  0.00010792     	|  0.00017922     	|
|  [Callback]RichModelSummary.on_validation_batch_end        	|  8.8286e-07     	|  96             	|  8.4754e-05     	|  0.00014075     	|
|  [Callback]CULPylogger.on_validation_batch_start           	|  8.3253e-07     	|  96             	|  7.9923e-05     	|  0.00013273     	|
|  [LightningModule]AmnesiacHAT.on_validation_batch_end      	|  8.1551e-07     	|  96             	|  7.8289e-05     	|  0.00013001     	|
|  [Callback]CLLoss.on_validation_batch_start                	|  7.6344e-07     	|  96             	|  7.329e-05      	|  0.00012171     	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_start  	|  7.5917e-07     	|  96             	|  7.2881e-05     	|  0.00012103     	|
|  [Callback]RichModelSummary.on_validation_batch_start      	|  7.504e-07      	|  96             	|  7.2039e-05     	|  0.00011964     	|
|  [Callback]SaveModels.on_validation_batch_start            	|  6.9227e-07     	|  96             	|  6.6458e-05     	|  0.00011037     	|
|  [LightningModule]AmnesiacHAT.on_validation_batch_start    	|  6.9008e-07     	|  96             	|  6.6247e-05     	|  0.00011002     	|
|  [Callback]RichProgressBar.setup                           	|  7.125e-06      	|  1              	|  7.125e-06      	|  1.1832e-05     	|
|  [Callback]RichProgressBar.on_validation_start             	|  2.2363e-06     	|  3              	|  6.709e-06      	|  1.1142e-05     	|
|  [Callback]CLAccuracy.on_validation_end                    	|  1.5553e-06     	|  3              	|  4.666e-06      	|  7.7488e-06     	|
|  [Callback]CLAccuracy.on_validation_start                  	|  1.4723e-06     	|  3              	|  4.417e-06      	|  7.3354e-06     	|
|  [Callback]SaveFirstBatchImages.on_validation_epoch_end    	|  1.4167e-06     	|  3              	|  4.25e-06       	|  7.0581e-06     	|
|  [Callback]CULPylogger.on_validation_epoch_end             	|  1.3196e-06     	|  3              	|  3.9589e-06     	|  6.5746e-06     	|
|  [Callback]CLAccuracy.on_train_epoch_start                 	|  1.4995e-06     	|  2              	|  2.999e-06      	|  4.9805e-06     	|
|  [Callback]SaveFirstBatchImages.on_train_epoch_start       	|  1.3955e-06     	|  2              	|  2.7909e-06     	|  4.6349e-06     	|
|  [Callback]CLAccuracy.on_sanity_check_end                  	|  2.667e-06      	|  1              	|  2.667e-06      	|  4.429e-06      	|
|  [Callback]SaveFirstBatchImages.on_validation_end          	|  8.8868e-07     	|  3              	|  2.666e-06      	|  4.4275e-06     	|
|  [Callback]CULPylogger.on_train_epoch_end                  	|  1.313e-06      	|  2              	|  2.626e-06      	|  4.3611e-06     	|
|  [Callback]CLAccuracy.on_validation_epoch_start            	|  8.6101e-07     	|  3              	|  2.583e-06      	|  4.2896e-06     	|
|  [Callback]CLLoss.on_validation_start                      	|  8.0532e-07     	|  3              	|  2.416e-06      	|  4.0122e-06     	|
|  [Callback]SaveFirstBatchImages.on_validation_start        	|  7.9166e-07     	|  3              	|  2.375e-06      	|  3.9442e-06     	|
|  [LightningModule]AmnesiacHAT.on_validation_epoch_end      	|  7.6399e-07     	|  3              	|  2.292e-06      	|  3.8063e-06     	|
|  [Callback]CLLoss.on_validation_end                        	|  7.6368e-07     	|  3              	|  2.2911e-06     	|  3.8048e-06     	|
|  [Callback]SaveFirstBatchImages.on_train_epoch_end         	|  1.125e-06      	|  2              	|  2.25e-06       	|  3.7365e-06     	|
|  [Callback]SaveModels.on_validation_epoch_end              	|  7.0864e-07     	|  3              	|  2.1259e-06     	|  3.5305e-06     	|
|  [LightningModule]AmnesiacHAT.on_validation_end            	|  7.0833e-07     	|  3              	|  2.125e-06      	|  3.529e-06      	|
|  [Callback]RichProgressBar.on_validation_epoch_start       	|  6.9465e-07     	|  3              	|  2.084e-06      	|  3.4608e-06     	|
|  [Callback]CULPylogger.on_validation_epoch_start           	|  6.8066e-07     	|  3              	|  2.042e-06      	|  3.3911e-06     	|
|  [Callback]SaveFirstBatchImages.on_validation_epoch_start  	|  6.8064e-07     	|  3              	|  2.0419e-06     	|  3.391e-06      	|
|  [Strategy]SingleDeviceStrategy.on_validation_start        	|  6.6665e-07     	|  3              	|  2e-06          	|  3.3213e-06     	|
