FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  59.598         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  29.726         	|  2              	|  59.453         	|  99.757         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.046249       	|  842            	|  38.942         	|  65.341         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.01274        	|  842            	|  10.727         	|  17.999         	|
|  run_training_batch                                        	|  0.0047899      	|  842            	|  4.0331         	|  6.7672         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0047599      	|  842            	|  4.0078         	|  6.7249         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0021577      	|  842            	|  1.8168         	|  3.0485         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0013322      	|  842            	|  1.1217         	|  1.8822         	|
|  [_EvaluationLoop].val_next                                	|  0.011564       	|  96             	|  1.1101         	|  1.8627         	|
|  optimizer_step                                            	|  0.00090593     	|  842            	|  0.76279        	|  1.2799         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.00086438     	|  842            	|  0.72781        	|  1.2212         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.002695       	|  96             	|  0.25872        	|  0.43412        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0008001      	|  96             	|  0.07681        	|  0.12888        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00044175     	|  96             	|  0.042408       	|  0.071157       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  4.517e-05      	|  938            	|  0.04237        	|  0.071093       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.025148       	|  1              	|  0.025148       	|  0.042196       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.014717       	|  1              	|  0.014717       	|  0.024694       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.5618e-05     	|  938            	|  0.01465        	|  0.024581       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  4.8034e-05     	|  96             	|  0.0046113      	|  0.0077374      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0041889      	|  1              	|  0.0041889      	|  0.0070287      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0017552      	|  2              	|  0.0035104      	|  0.0058902      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  3.5122e-05     	|  96             	|  0.0033717      	|  0.0056575      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.2112e-06     	|  842            	|  0.0027038      	|  0.0045368      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.0463e-05     	|  96             	|  0.0019644      	|  0.0032961      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00057076     	|  3              	|  0.0017123      	|  0.0028731      	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.00053278     	|  3              	|  0.0015983      	|  0.0026819      	|
|  [Callback]CLPylogger.on_train_batch_end                   	|  1.6828e-06     	|  842            	|  0.0014169      	|  0.0023774      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.5941e-06     	|  842            	|  0.0013422      	|  0.0022521      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0013215      	|  1              	|  0.0013215      	|  0.0022174      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.5575e-06     	|  842            	|  0.0013114      	|  0.0022004      	|
