FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  66.002         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  32.876         	|  2              	|  65.752         	|  99.621         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.049432       	|  842            	|  41.622         	|  63.062         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.015193       	|  842            	|  12.793         	|  19.382         	|
|  run_training_batch                                        	|  0.0052303      	|  842            	|  4.4039         	|  6.6724         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0051957      	|  842            	|  4.3748         	|  6.6282         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0025323      	|  842            	|  2.1322         	|  3.2305         	|
|  [_EvaluationLoop].val_next                                	|  0.014753       	|  96             	|  1.4163         	|  2.1458         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0015814      	|  842            	|  1.3315         	|  2.0174         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0010147      	|  842            	|  0.85438        	|  1.2945         	|
|  optimizer_step                                            	|  0.00098152     	|  842            	|  0.82644        	|  1.2521         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0039362      	|  96             	|  0.37788        	|  0.57253        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.0010954      	|  96             	|  0.10516        	|  0.15932        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00065678     	|  96             	|  0.06305        	|  0.095528       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.2691e-05     	|  938            	|  0.049424       	|  0.074883       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.038819       	|  1              	|  0.038819       	|  0.058814       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.7888e-05     	|  938            	|  0.016779       	|  0.025422       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.015952       	|  1              	|  0.015952       	|  0.024169       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0025516      	|  3              	|  0.0076547      	|  0.011598       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  6.212e-05      	|  96             	|  0.0059635      	|  0.0090354      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.7768e-05     	|  96             	|  0.0045857      	|  0.0069479      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0039955      	|  1              	|  0.0039955      	|  0.0060535      	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0018487      	|  2              	|  0.0036975      	|  0.0056021      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.7692e-06     	|  842            	|  0.0031737      	|  0.0048085      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.5108e-05     	|  96             	|  0.0024104      	|  0.003652       	|
|  [Callback]CLAccuracy.on_fit_start                         	|  0.002274       	|  1              	|  0.002274       	|  0.0034454      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00072812     	|  3              	|  0.0021844      	|  0.0033095      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00056071     	|  3              	|  0.0016821      	|  0.0025486      	|
|  [Callback]CULPylogger.on_train_batch_end                  	|  1.9616e-06     	|  842            	|  0.0016517      	|  0.0025025      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.8297e-06     	|  842            	|  0.0015406      	|  0.0023342      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.8081e-06     	|  842            	|  0.0015224      	|  0.0023066      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.5439e-06     	|  938            	|  0.0014482      	|  0.0021941      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.5913e-06     	|  842            	|  0.0013398      	|  0.00203        	|
|  [Callback]RichProgressBar.teardown                        	|  0.001335       	|  1              	|  0.001335       	|  0.0020227      	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00065612     	|  2              	|  0.0013122      	|  0.0019882      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.5163e-06     	|  842            	|  0.0012767      	|  0.0019343      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.00052558     	|  2              	|  0.0010512      	|  0.0015926      	|
|  [LightningModule]AmnesiacHAT.on_before_backward           	|  1.1523e-06     	|  842            	|  0.00097021     	|  0.00147        	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.1424e-06     	|  842            	|  0.00096192     	|  0.0014574      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.1265e-06     	|  842            	|  0.00094852     	|  0.0014371      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.0817e-06     	|  842            	|  0.00091076     	|  0.0013799      	|
|  [LightningModule]AmnesiacHAT.on_before_optimizer_step     	|  9.8861e-07     	|  842            	|  0.00083241     	|  0.0012612      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  9.8565e-07     	|  842            	|  0.00082992     	|  0.0012574      	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  9.0345e-07     	|  842            	|  0.00076071     	|  0.0011525      	|
|  [Callback]SaveFirstBatchImages.on_before_optimizer_step   	|  8.9235e-07     	|  842            	|  0.00075136     	|  0.0011384      	|
|  [Callback]CLLoss.on_before_backward                       	|  8.7887e-07     	|  842            	|  0.00074001     	|  0.0011212      	|
|  [Callback]CULPylogger.on_before_optimizer_step            	|  8.762e-07      	|  842            	|  0.00073776     	|  0.0011178      	|
|  [Callback]RichModelSummary.on_train_batch_start           	|  8.4882e-07     	|  842            	|  0.0007147      	|  0.0010828      	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start       	|  8.4431e-07     	|  842            	|  0.00071091     	|  0.0010771      	|
|  [LightningModule]AmnesiacHAT.on_train_start               	|  0.00070071     	|  1              	|  0.00070071     	|  0.0010616      	|
|  [Callback]RichProgressBar.on_after_backward               	|  8.2403e-07     	|  842            	|  0.00069383     	|  0.0010512      	|
|  [Callback]CLLoss.on_after_backward                        	|  8.2323e-07     	|  842            	|  0.00069316     	|  0.0010502      	|
|  [Callback]RichProgressBar.on_sanity_check_start           	|  0.00068337     	|  1              	|  0.00068337     	|  0.0010354      	|
|  [Callback]RichModelSummary.on_after_backward              	|  8.0608e-07     	|  842            	|  0.00067872     	|  0.0010283      	|
|  [Callback]RichModelSummary.on_before_optimizer_step       	|  8.009e-07      	|  842            	|  0.00067436     	|  0.0010217      	|
|  [Callback]CULPylogger.on_before_backward                  	|  7.9744e-07     	|  842            	|  0.00067145     	|  0.0010173      	|
|  [Callback]RichProgressBar.on_before_optimizer_step        	|  7.9331e-07     	|  842            	|  0.00066797     	|  0.001012       	|
|  [Callback]SaveModels.on_train_batch_start                 	|  7.8874e-07     	|  842            	|  0.00066412     	|  0.0010062      	|
|  [Callback]CULPylogger.on_train_batch_start                	|  7.8563e-07     	|  842            	|  0.0006615      	|  0.0010022      	|
|  [Callback]RichProgressBar.on_train_batch_start            	|  7.8448e-07     	|  842            	|  0.00066054     	|  0.0010008      	|
|  [Callback]RichProgressBar.on_before_backward              	|  7.7547e-07     	|  842            	|  0.00065294     	|  0.00098927     	|
|  [LightningModule]AmnesiacHAT.on_train_batch_start         	|  7.6624e-07     	|  842            	|  0.00064517     	|  0.0009775      	|
|  [Callback]SaveModels.on_before_backward                   	|  7.5786e-07     	|  842            	|  0.00063812     	|  0.00096681     	|
|  [Callback]SaveFirstBatchImages.on_train_batch_start       	|  7.5735e-07     	|  842            	|  0.00063769     	|  0.00096616     	|
|  [Callback]SaveModels.on_before_optimizer_step             	|  7.5642e-07     	|  842            	|  0.00063691     	|  0.00096498     	|
|  [Callback]RichModelSummary.on_before_backward             	|  7.4193e-07     	|  842            	|  0.0006247      	|  0.00094649     	|
|  [Callback]CULPylogger.on_after_backward                   	|  7.3714e-07     	|  842            	|  0.00062068     	|  0.00094039     	|
|  [LightningModule]AmnesiacHAT.on_after_backward            	|  7.1892e-07     	|  842            	|  0.00060533     	|  0.00091714     	|
|  [Callback]SaveFirstBatchImages.on_after_backward          	|  7.1308e-07     	|  842            	|  0.00060041     	|  0.00090969     	|
