FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  57.476         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  28.667         	|  2              	|  57.334         	|  99.752         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.042708       	|  842            	|  35.96          	|  62.565         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.013193       	|  842            	|  11.109         	|  19.328         	|
|  run_training_batch                                        	|  0.0048664      	|  842            	|  4.0975         	|  7.129          	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0048317      	|  842            	|  4.0683         	|  7.0782         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0022957      	|  842            	|  1.933          	|  3.3631         	|
|  [_EvaluationLoop].val_next                                	|  0.012712       	|  96             	|  1.2203         	|  2.1232         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0014067      	|  842            	|  1.1844         	|  2.0607         	|
|  optimizer_step                                            	|  0.00094345     	|  842            	|  0.79438        	|  1.3821         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.00093225     	|  842            	|  0.78496        	|  1.3657         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.003166       	|  96             	|  0.30394        	|  0.5288         	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.00076018     	|  96             	|  0.072977       	|  0.12697        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00049611     	|  96             	|  0.047627       	|  0.082864       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  4.8706e-05     	|  938            	|  0.045686       	|  0.079487       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.026373       	|  1              	|  0.026373       	|  0.045885       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.7719e-05     	|  938            	|  0.01662        	|  0.028916       	|
