FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  43582          	|  45.896         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  22.891         	|  2              	|  45.782         	|  99.752         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.033475       	|  842            	|  28.186         	|  61.413         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.011158       	|  842            	|  9.3948         	|  20.47          	|
|  run_training_batch                                        	|  0.0036681      	|  842            	|  3.0886         	|  6.7295         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0036398      	|  842            	|  3.0647         	|  6.6776         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0019566      	|  842            	|  1.6475         	|  3.5896         	|
|  [_EvaluationLoop].val_next                                	|  0.010499       	|  96             	|  1.0079         	|  2.1962         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.0011675      	|  842            	|  0.98301        	|  2.1418         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.0007683      	|  842            	|  0.6469         	|  1.4095         	|
|  optimizer_step                                            	|  0.00069937     	|  842            	|  0.58887        	|  1.2831         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0025526      	|  96             	|  0.24505        	|  0.53394        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.00053859     	|  96             	|  0.051705       	|  0.11266        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  3.9958e-05     	|  938            	|  0.037481       	|  0.081665       	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.00038191     	|  96             	|  0.036663       	|  0.079883       	|
|  [LightningDataModule]PermutedMNIST.prepare_data           	|  0.024631       	|  1              	|  0.024631       	|  0.053667       	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.4438e-05     	|  938            	|  0.013543       	|  0.029508       	|
|  [LightningDataModule]PermutedMNIST.setup                  	|  0.012216       	|  1              	|  0.012216       	|  0.026618       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  4.4187e-05     	|  96             	|  0.004242       	|  0.0092426      	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  3.5556e-05     	|  96             	|  0.0034133      	|  0.0074371      	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0031177      	|  1              	|  0.0031177      	|  0.006793       	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.0015082      	|  2              	|  0.0030165      	|  0.0065724      	|
|  [Callback]SaveModels.on_train_batch_end                   	|  2.9263e-06     	|  842            	|  0.0024639      	|  0.0053685      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  1.8905e-05     	|  96             	|  0.0018149      	|  0.0039543      	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00051353     	|  3              	|  0.0015406      	|  0.0033567      	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.00045131     	|  3              	|  0.0013539      	|  0.00295        	|
|  [Callback]CLPylogger.on_train_batch_end                   	|  1.5432e-06     	|  842            	|  0.0012994      	|  0.0028311      	|
|  [Callback]CLLoss.on_fit_start                             	|  0.0012144      	|  1              	|  0.0012144      	|  0.002646       	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.441e-06      	|  842            	|  0.0012133      	|  0.0026436      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.3791e-06     	|  842            	|  0.0011612      	|  0.00253        	|
|  [Callback]RichProgressBar.teardown                        	|  0.0010992      	|  1              	|  0.0010992      	|  0.0023949      	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00051621     	|  2              	|  0.0010324      	|  0.0022495      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.2017e-06     	|  842            	|  0.0010118      	|  0.0022047      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.1444e-06     	|  842            	|  0.00096358     	|  0.0020995      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00031083     	|  3              	|  0.0009325      	|  0.0020318      	|
