FIT Profiler Report

------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                    	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                     	|  -              	|  18580          	|  17.305         	|  100 %          	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                        	|  7.2077         	|  2              	|  14.415         	|  83.3           	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end         	|  0.022878       	|  356            	|  8.1445         	|  47.063         	|
|  [LightningDataModule]SplitMNIST.setup                     	|  2.7314         	|  1              	|  2.7314         	|  15.784         	|
|  [_TrainingEpochLoop].train_dataloader_next                	|  0.0058969      	|  356            	|  2.0993         	|  12.131         	|
|  run_training_batch                                        	|  0.0045412      	|  356            	|  1.6167         	|  9.3419         	|
|  [Strategy]SingleDeviceStrategy.training_step              	|  0.0045044      	|  356            	|  1.6036         	|  9.2662         	|
|  [Callback]RichProgressBar.on_train_batch_end              	|  0.0024859      	|  356            	|  0.88497        	|  5.1138         	|
|  [Callback]CLLoss.on_train_batch_end                       	|  0.001564       	|  356            	|  0.55678        	|  3.2174         	|
|  [Callback]CLAccuracy.on_train_batch_end                   	|  0.001013       	|  356            	|  0.36065        	|  2.084          	|
|  optimizer_step                                            	|  0.00089233     	|  356            	|  0.31767        	|  1.8357         	|
|  [_EvaluationLoop].val_next                                	|  0.0056688      	|  42             	|  0.23809        	|  1.3758         	|
|  [Callback]RichProgressBar.on_validation_batch_end         	|  0.0033335      	|  42             	|  0.14001        	|  0.80903        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end    	|  0.0013175      	|  42             	|  0.055336       	|  0.31976        	|
|  [Strategy]SingleDeviceStrategy.validation_step            	|  0.00073836     	|  42             	|  0.031011       	|  0.1792         	|
|  [LightningDataModule]SplitMNIST.prepare_data              	|  0.023268       	|  1              	|  0.023268       	|  0.13446        	|
|  [Strategy]SingleDeviceStrategy.batch_to_device            	|  5.3131e-05     	|  398            	|  0.021146       	|  0.12219        	|
|  [LightningModule]AmnesiacHAT.transfer_batch_to_device     	|  1.8768e-05     	|  398            	|  0.0074697      	|  0.043164       	|
|  [Callback]RichProgressBar.on_validation_batch_start       	|  0.00012762     	|  42             	|  0.0053599      	|  0.030972       	|
|  [Callback]CLAccuracy.on_validation_epoch_end              	|  0.0017538      	|  3              	|  0.0052614      	|  0.030403       	|
|  [Callback]RichProgressBar.on_train_epoch_start            	|  0.001668       	|  2              	|  0.003336       	|  0.019277       	|
|  [Callback]RichModelSummary.on_fit_start                   	|  0.0027766      	|  1              	|  0.0027766      	|  0.016045       	|
|  [Callback]RichProgressBar.on_validation_epoch_end         	|  0.00070829     	|  3              	|  0.0021249      	|  0.012279       	|
|  [Callback]CLAccuracy.on_validation_batch_end              	|  4.9325e-05     	|  42             	|  0.0020717      	|  0.011971       	|
|  [Callback]CLAccuracy.on_train_epoch_end                   	|  0.00074092     	|  2              	|  0.0014818      	|  0.0085628      	|
|  [Callback]RichProgressBar.teardown                        	|  0.0014193      	|  1              	|  0.0014193      	|  0.0082016      	|
|  [Callback]CLAccuracy.on_fit_start                         	|  0.001395       	|  1              	|  0.001395       	|  0.008061       	|
|  [Callback]SaveModels.on_train_batch_end                   	|  3.714e-06      	|  356            	|  0.0013222      	|  0.0076403      	|
|  [Callback]CLLoss.on_train_epoch_end                       	|  0.00062021     	|  2              	|  0.0012404      	|  0.0071678      	|
|  [Callback]CLLoss.on_validation_epoch_end                  	|  0.00039682     	|  3              	|  0.0011905      	|  0.0068791      	|
|  [Callback]CLLoss.on_validation_batch_end                  	|  2.5728e-05     	|  42             	|  0.0010806      	|  0.0062442      	|
|  [Callback]CULPylogger.on_train_batch_end                  	|  1.9923e-06     	|  356            	|  0.00070925     	|  0.0040984      	|
|  [LightningModule]AmnesiacHAT.on_train_end                 	|  0.00068883     	|  1              	|  0.00068883     	|  0.0039804      	|
|  [Callback]CLAccuracy.on_before_backward                   	|  1.9312e-06     	|  356            	|  0.00068752     	|  0.0039728      	|
|  [Callback]CLAccuracy.on_before_optimizer_step             	|  1.8146e-06     	|  356            	|  0.000646       	|  0.0037329      	|
|  [Callback]CLAccuracy.on_after_backward                    	|  1.5474e-06     	|  356            	|  0.00055087     	|  0.0031832      	|
|  [Callback]CLAccuracy.on_train_batch_start                 	|  1.4762e-06     	|  356            	|  0.00052554     	|  0.0030369      	|
|  [LightningModule]AmnesiacHAT.on_before_batch_transfer     	|  1.2841e-06     	|  398            	|  0.00051109     	|  0.0029533      	|
|  [LightningModule]AmnesiacHAT.on_train_start               	|  0.00047        	|  1              	|  0.00047        	|  0.0027159      	|
|  [Callback]RichProgressBar.on_sanity_check_start           	|  0.00042008     	|  1              	|  0.00042008     	|  0.0024275      	|
|  [Callback]CLLoss.on_before_optimizer_step                 	|  1.1663e-06     	|  356            	|  0.0004152      	|  0.0023992      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_end           	|  1.0805e-06     	|  356            	|  0.00038465     	|  0.0022227      	|
|  [Callback]RichModelSummary.on_train_batch_end             	|  1.0803e-06     	|  356            	|  0.00038458     	|  0.0022223      	|
|  [Callback]CLLoss.on_train_batch_start                     	|  1.0041e-06     	|  356            	|  0.00035747     	|  0.0020657      	|
|  [Callback]CLLoss.on_after_backward                        	|  9.5843e-07     	|  356            	|  0.0003412      	|  0.0019716      	|
|  [LightningModule]AmnesiacHAT.on_before_backward           	|  9.5389e-07     	|  356            	|  0.00033959     	|  0.0019623      	|
|  [Callback]SaveFirstBatchImages.on_before_backward         	|  9.2693e-07     	|  356            	|  0.00032999     	|  0.0019068      	|
|  [Callback]CULPylogger.on_before_optimizer_step            	|  9.2427e-07     	|  356            	|  0.00032904     	|  0.0019014      	|
|  [Callback]SaveFirstBatchImages.on_before_optimizer_step   	|  9.1075e-07     	|  356            	|  0.00032423     	|  0.0018735      	|
|  [LightningModule]AmnesiacHAT.on_before_optimizer_step     	|  8.8859e-07     	|  356            	|  0.00031634     	|  0.001828       	|
|  [Callback]RichProgressBar.on_before_backward              	|  8.8368e-07     	|  356            	|  0.00031459     	|  0.0018179      	|
|  [Callback]CLLoss.on_before_backward                       	|  8.7231e-07     	|  356            	|  0.00031054     	|  0.0017945      	|
|  [Callback]RichProgressBar.on_after_backward               	|  8.5684e-07     	|  356            	|  0.00030504     	|  0.0017627      	|
|  [Callback]CLLoss.on_fit_start                             	|  0.00030408     	|  1              	|  0.00030408     	|  0.0017572      	|
|  [LightningModule]AmnesiacHAT.on_validation_model_zero_grad	|  0.00014946     	|  2              	|  0.00029892     	|  0.0017273      	|
|  [Callback]RichModelSummary.on_train_batch_start           	|  8.124e-07      	|  356            	|  0.00028921     	|  0.0016712      	|
|  [LightningModule]AmnesiacHAT.on_after_backward            	|  8.0488e-07     	|  356            	|  0.00028654     	|  0.0016558      	|
|  [Callback]SaveModels.on_before_backward                   	|  8.0185e-07     	|  356            	|  0.00028546     	|  0.0016495      	|
|  [Callback]RichModelSummary.on_after_backward              	|  7.9579e-07     	|  356            	|  0.0002833      	|  0.0016371      	|
|  [Callback]CULPylogger.on_before_backward                  	|  7.9484e-07     	|  356            	|  0.00028296     	|  0.0016351      	|
|  [LightningModule]AmnesiacHAT.on_train_batch_start         	|  7.8161e-07     	|  356            	|  0.00027825     	|  0.0016079      	|
|  [Callback]RichProgressBar.on_before_optimizer_step        	|  7.7812e-07     	|  356            	|  0.00027701     	|  0.0016007      	|
|  [Callback]SaveModels.on_train_batch_start                 	|  7.6963e-07     	|  356            	|  0.00027399     	|  0.0015833      	|
|  [Callback]CULPylogger.on_train_batch_start                	|  7.6407e-07     	|  356            	|  0.00027201     	|  0.0015718      	|
|  [Callback]SaveFirstBatchImages.on_train_batch_start       	|  7.5935e-07     	|  356            	|  0.00027033     	|  0.0015621      	|
|  [Callback]CULPylogger.on_after_backward                   	|  7.5512e-07     	|  356            	|  0.00026882     	|  0.0015534      	|
|  [Callback]RichProgressBar.on_train_batch_start            	|  7.5012e-07     	|  356            	|  0.00026704     	|  0.0015431      	|
|  [Strategy]SingleDeviceStrategy.on_train_batch_start       	|  7.4834e-07     	|  356            	|  0.00026641     	|  0.0015395      	|
|  [Callback]SaveModels.on_before_optimizer_step             	|  7.4077e-07     	|  356            	|  0.00026372     	|  0.0015239      	|
|  [Callback]RichModelSummary.on_before_optimizer_step       	|  7.3464e-07     	|  356            	|  0.00026153     	|  0.0015113      	|
|  [Callback]RichModelSummary.on_before_backward             	|  7.33e-07       	|  356            	|  0.00026095     	|  0.0015079      	|
|  [Callback]SaveFirstBatchImages.on_after_backward          	|  7.2003e-07     	|  356            	|  0.00025633     	|  0.0014812      	|
|  [Callback]RichProgressBar.on_sanity_check_end             	|  0.00025075     	|  1              	|  0.00025075     	|  0.001449       	|
|  [Callback]SaveModels.on_after_backward                    	|  7.0309e-07     	|  356            	|  0.0002503      	|  0.0014464      	|
|  [LightningModule]AmnesiacHAT.on_after_batch_transfer      	|  5.9004e-07     	|  398            	|  0.00023484     	|  0.001357       	|
|  [LightningModule]AmnesiacHAT.on_validation_model_eval     	|  7.7792e-05     	|  3              	|  0.00023338     	|  0.0013486      	|
|  [Callback]CULPylogger.on_train_end                        	|  0.00020317     	|  1              	|  0.00020317     	|  0.001174       	|
|  [Callback]RichProgressBar.on_validation_end               	|  6.2875e-05     	|  3              	|  0.00018863     	|  0.00109        	|
|  [Callback]RichProgressBar.on_train_epoch_end              	|  8.8271e-05     	|  2              	|  0.00017654     	|  0.0010201      	|
|  [LightningDataModule]SplitMNIST.val_dataloader            	|  0.00017542     	|  1              	|  0.00017542     	|  0.0010136      	|
|  [LightningDataModule]SplitMNIST.train_dataloader          	|  0.00013029     	|  1              	|  0.00013029     	|  0.00075289     	|
|  [LightningModule]AmnesiacHAT.configure_optimizers         	|  0.00011479     	|  1              	|  0.00011479     	|  0.00066333     	|
|  [Callback]CULPylogger.on_fit_start                        	|  9.8291e-05     	|  1              	|  9.8291e-05     	|  0.00056798     	|
|  [Callback]CLAccuracy.on_validation_batch_start            	|  1.4325e-06     	|  42             	|  6.0165e-05     	|  0.00034766     	|
|  [Callback]CULPylogger.on_validation_batch_end             	|  1.3611e-06     	|  42             	|  5.7166e-05     	|  0.00033033     	|
|  [Callback]SaveModels.on_validation_batch_end              	|  1.3363e-06     	|  42             	|  5.6126e-05     	|  0.00032432     	|
