FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                	|  -              	|  52846          	|  146.05         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                   	|  72.828         	|  2              	|  145.66         	|  99.732         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end                    	|  0.12903        	|  842            	|  108.64         	|  74.388         	|
|  [_TrainingEpochLoop].train_dataloader_next                           	|  0.026397       	|  842            	|  22.226         	|  15.218         	|
|  run_training_batch                                                   	|  0.0047055      	|  842            	|  3.962          	|  2.7128         	|
|  [LightningModule]UnlearnableIndependent.optimizer_step               	|  0.0046675      	|  842            	|  3.93           	|  2.6909         	|
|  [Callback]RichProgressBar.on_train_batch_end                         	|  0.0039929      	|  842            	|  3.362          	|  2.302          	|
|  [_EvaluationLoop].val_next                                           	|  0.026865       	|  96             	|  2.579          	|  1.7659         	|
|  [Strategy]SingleDeviceStrategy.backward                              	|  0.0024276      	|  842            	|  2.044          	|  1.3995         	|
|  [Callback]CLLoss.on_train_batch_end                                  	|  0.0022886      	|  842            	|  1.927          	|  1.3194         	|
|  [Strategy]SingleDeviceStrategy.training_step                         	|  0.0014572      	|  842            	|  1.227          	|  0.84014        	|
|  [Callback]CLAccuracy.on_train_batch_end                              	|  0.0012173      	|  842            	|  1.025          	|  0.70183        	|
|  [Callback]RichProgressBar.on_validation_batch_end                    	|  0.0069896      	|  96             	|  0.671          	|  0.45944        	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end               	|  0.0019583      	|  96             	|  0.188          	|  0.12873        	|
|  [Strategy]SingleDeviceStrategy.validation_step                       	|  0.001625       	|  96             	|  0.156          	|  0.10681        	|
|  [LightningModule]UnlearnableIndependent.optimizer_zero_grad          	|  0.00013183     	|  842            	|  0.111          	|  0.076003       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                       	|  9.8081e-05     	|  938            	|  0.092          	|  0.062993       	|
|  [LightningDataModule]PermutedMNIST.prepare_data                      	|  0.047          	|  1              	|  0.047          	|  0.032181       	|
|  [LightningModule]UnlearnableIndependent.transfer_batch_to_device     	|  4.9041e-05     	|  938            	|  0.046          	|  0.031497       	|
|  [LightningDataModule]PermutedMNIST.setup                             	|  0.032          	|  1              	|  0.032          	|  0.021911       	|
|  [LightningDataModule]PermutedMNIST.val_dataloader                    	|  0.016          	|  1              	|  0.016          	|  0.010955       	|
|  [Callback]RichProgressBar.on_sanity_check_end                        	|  0.016          	|  1              	|  0.016          	|  0.010955       	|
|  [Callback]SaveFirstBatchImages.on_train_batch_start                  	|  1.9002e-05     	|  842            	|  0.016          	|  0.010955       	|
|  [Callback]CLAccuracy.on_before_zero_grad                             	|  1.9002e-05     	|  842            	|  0.016          	|  0.010955       	|
|  [Callback]CLLoss.on_before_zero_grad                                 	|  1.9002e-05     	|  842            	|  0.016          	|  0.010955       	|
|  [LightningModule]UnlearnableIndependent.on_train_end                 	|  0.016          	|  1              	|  0.016          	|  0.010955       	|
|  [Callback]RichModelSummary.on_fit_start                              	|  0.015          	|  1              	|  0.015          	|  0.010271       	|
|  [Callback]RichProgressBar.on_validation_batch_start                  	|  0.00015625     	|  96             	|  0.015          	|  0.010271       	|
|  [Callback]CLLoss.on_validation_batch_end                             	|  0.00015625     	|  96             	|  0.015          	|  0.010271       	|
|  [Callback]SaveModels.on_after_backward                               	|  1.7815e-05     	|  842            	|  0.015          	|  0.010271       	|
|  [Callback]CLLoss.on_before_optimizer_step                            	|  1.7815e-05     	|  842            	|  0.015          	|  0.010271       	|
|  [LightningModule]UnlearnableIndependent.configure_gradient_clipping  	|  1.7815e-05     	|  842            	|  0.015          	|  0.010271       	|
|  [LightningModule]UnlearnableIndependent.configure_callbacks          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.setup                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CULPylogger.setup                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.setup                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.setup                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.setup                                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.setup                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.configure_optimizers         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_fit_start                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CULPylogger.on_fit_start                                   	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_fit_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_fit_start                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_fit_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_sanity_check_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CULPylogger.on_sanity_check_start                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_sanity_check_start                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_sanity_check_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
