FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                	|  -              	|  52846          	|  186.69         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                   	|  93.141         	|  2              	|  186.28         	|  99.782         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end                    	|  0.15575        	|  842            	|  131.14         	|  70.246         	|
|  [_TrainingEpochLoop].train_dataloader_next                           	|  0.043331       	|  842            	|  36.485         	|  19.543         	|
|  run_training_batch                                                   	|  0.006652       	|  842            	|  5.601          	|  3.0002         	|
|  [LightningModule]UnlearnableIndependent.optimizer_step               	|  0.0065772      	|  842            	|  5.538          	|  2.9664         	|
|  [Callback]RichProgressBar.on_train_batch_end                         	|  0.0051746      	|  842            	|  4.357          	|  2.3338         	|
|  [_EvaluationLoop].val_next                                           	|  0.03875        	|  96             	|  3.72           	|  1.9926         	|
|  [Strategy]SingleDeviceStrategy.backward                              	|  0.003443       	|  842            	|  2.899          	|  1.5529         	|
|  [Callback]CLLoss.on_train_batch_end                                  	|  0.0026057      	|  842            	|  2.194          	|  1.1752         	|
|  [Strategy]SingleDeviceStrategy.training_step                         	|  0.0022815      	|  842            	|  1.921          	|  1.029          	|
|  [Callback]CLAccuracy.on_train_batch_end                              	|  0.0013278      	|  842            	|  1.118          	|  0.59886        	|
|  [Callback]RichProgressBar.on_validation_batch_end                    	|  0.007625       	|  96             	|  0.732          	|  0.3921         	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end               	|  0.0022812      	|  96             	|  0.219          	|  0.11731        	|
|  [Strategy]SingleDeviceStrategy.validation_step                       	|  0.001625       	|  96             	|  0.156          	|  0.083562       	|
|  [LightningModule]UnlearnableIndependent.optimizer_zero_grad          	|  0.00011164     	|  842            	|  0.094          	|  0.050351       	|
|  [LightningDataModule]PermutedMNIST.prepare_data                      	|  0.047          	|  1              	|  0.047          	|  0.025176       	|
|  [LightningDataModule]PermutedMNIST.setup                             	|  0.032          	|  1              	|  0.032          	|  0.017141       	|
|  [Callback]RichProgressBar.on_train_epoch_start                       	|  0.016          	|  2              	|  0.032          	|  0.017141       	|
|  [Callback]RichProgressBar.on_validation_batch_start                  	|  0.00016667     	|  96             	|  0.016          	|  0.0085704      	|
|  [Callback]SaveFirstBatchImages.on_after_backward                     	|  1.9002e-05     	|  842            	|  0.016          	|  0.0085704      	|
|  [LightningModule]UnlearnableIndependent.on_train_batch_end           	|  1.9002e-05     	|  842            	|  0.016          	|  0.0085704      	|
|  [Callback]CLLoss.on_fit_start                                        	|  0.015          	|  1              	|  0.015          	|  0.0080348      	|
|  [Callback]CLLoss.on_validation_batch_end                             	|  0.00015625     	|  96             	|  0.015          	|  0.0080348      	|
|  [Callback]CLAccuracy.on_train_epoch_end                              	|  0.0075         	|  2              	|  0.015          	|  0.0080348      	|
|  [LightningModule]UnlearnableIndependent.configure_callbacks          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.setup                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.setup                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.setup                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.setup                                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.setup                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.configure_optimizers         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_fit_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_fit_start                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_fit_start                              	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_fit_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_sanity_check_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_sanity_check_start                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_sanity_check_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_sanity_check_start                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningDataModule]PermutedMNIST.val_dataloader                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_validation_model_eval     	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_validation_start                             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_validation_start                                 	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_validation_start                             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_validation_start                        	|  0.0            	|  3              	|  0.0            	|  0.0            	|
