FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                	|  -              	|  52846          	|  188.16         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                   	|  93.962         	|  2              	|  187.92         	|  99.876         	|
|  [Callback]SaveFirstBatchImages.on_train_batch_end                    	|  0.15897        	|  842            	|  133.85         	|  71.14          	|
|  [_TrainingEpochLoop].train_dataloader_next                           	|  0.041093       	|  842            	|  34.6           	|  18.389         	|
|  run_training_batch                                                   	|  0.0059264      	|  842            	|  4.99           	|  2.6521         	|
|  [LightningModule]UnlearnableIndependent.optimizer_step               	|  0.0058907      	|  842            	|  4.96           	|  2.6361         	|
|  [Callback]RichProgressBar.on_train_batch_end                         	|  0.0052732      	|  842            	|  4.44           	|  2.3597         	|
|  [_EvaluationLoop].val_next                                           	|  0.045427       	|  96             	|  4.361          	|  2.3178         	|
|  [Strategy]SingleDeviceStrategy.backward                              	|  0.0027114      	|  842            	|  2.283          	|  1.2134         	|
|  [Callback]CLLoss.on_train_batch_end                                  	|  0.0023515      	|  842            	|  1.98           	|  1.0523         	|
|  [Strategy]SingleDeviceStrategy.training_step                         	|  0.0019976      	|  842            	|  1.682          	|  0.89394        	|
|  [Callback]CLAccuracy.on_train_batch_end                              	|  0.0017067      	|  842            	|  1.437          	|  0.76373        	|
|  [Callback]RichProgressBar.on_validation_batch_end                    	|  0.0068229      	|  96             	|  0.655          	|  0.34812        	|
|  [Strategy]SingleDeviceStrategy.validation_step                       	|  0.0027813      	|  96             	|  0.267          	|  0.1419         	|
|  [Callback]SaveFirstBatchImages.on_validation_batch_end               	|  0.0016146      	|  96             	|  0.155          	|  0.082378       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                       	|  0.00014712     	|  938            	|  0.138          	|  0.073343       	|
|  [LightningModule]UnlearnableIndependent.optimizer_zero_grad          	|  0.00014846     	|  842            	|  0.125          	|  0.066434       	|
|  [LightningModule]UnlearnableIndependent.transfer_batch_to_device     	|  6.6098e-05     	|  938            	|  0.062          	|  0.032951       	|
|  [LightningDataModule]PermutedMNIST.setup                             	|  0.047          	|  1              	|  0.047          	|  0.024979       	|
|  [Callback]CLAccuracy.on_validation_batch_end                         	|  0.00047917     	|  96             	|  0.046          	|  0.024448       	|
|  [Callback]CLAccuracy.on_validation_epoch_end                         	|  0.0053333      	|  3              	|  0.016          	|  0.0085036      	|
|  [Callback]CLPylogger.on_before_optimizer_step                        	|  1.9002e-05     	|  842            	|  0.016          	|  0.0085036      	|
|  [LightningModule]UnlearnableIndependent.configure_gradient_clipping  	|  1.9002e-05     	|  842            	|  0.016          	|  0.0085036      	|
|  [LightningModule]UnlearnableIndependent.on_validation_model_zero_grad	|  0.008          	|  2              	|  0.016          	|  0.0085036      	|
|  [Callback]RichProgressBar.on_validation_batch_start                  	|  0.00015625     	|  96             	|  0.015          	|  0.0079721      	|
|  [Callback]CLLoss.on_validation_epoch_end                             	|  0.005          	|  3              	|  0.015          	|  0.0079721      	|
|  [Callback]SaveModels.on_train_batch_start                            	|  1.7815e-05     	|  842            	|  0.015          	|  0.0079721      	|
|  [LightningModule]UnlearnableIndependent.on_after_backward            	|  1.7815e-05     	|  842            	|  0.015          	|  0.0079721      	|
|  [Callback]RichProgressBar.on_before_optimizer_step                   	|  1.7815e-05     	|  842            	|  0.015          	|  0.0079721      	|
|  [Callback]CLPylogger.on_train_batch_end                              	|  1.7815e-05     	|  842            	|  0.015          	|  0.0079721      	|
|  [Callback]SaveModels.on_train_batch_end                              	|  1.7815e-05     	|  842            	|  0.015          	|  0.0079721      	|
|  [Callback]CLLoss.on_train_epoch_end                                  	|  0.0075         	|  2              	|  0.015          	|  0.0079721      	|
|  [LightningModule]UnlearnableIndependent.on_train_end                 	|  0.015          	|  1              	|  0.015          	|  0.0079721      	|
|  [LightningModule]UnlearnableIndependent.configure_callbacks          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningDataModule]PermutedMNIST.prepare_data                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.setup                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.setup                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.setup                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.setup                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.setup                                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.setup                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.configure_optimizers         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_fit_start                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_fit_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_fit_start                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_fit_start                                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_fit_start                              	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_fit_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_sanity_check_start                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_sanity_check_start                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_sanity_check_start                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_sanity_check_start                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_sanity_check_start                     	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningDataModule]PermutedMNIST.val_dataloader                    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_validation_model_eval     	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_validation_start                             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_validation_start                                 	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_validation_start                             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_validation_start                        	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_validation_start                   	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_validation_start                             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_validation_start                       	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_validation_start          	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_start                   	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLAccuracy.on_validation_epoch_start                       	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLLoss.on_validation_epoch_start                           	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]CLPylogger.on_validation_epoch_start                       	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]RichProgressBar.on_validation_epoch_start                  	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]SaveFirstBatchImages.on_validation_epoch_start             	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]SaveModels.on_validation_epoch_start                       	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [Callback]RichModelSummary.on_validation_epoch_start                 	|  0.0            	|  3              	|  0.0            	|  0.0            	|
|  [LightningModule]UnlearnableIndependent.on_validation_epoch_start    	|  0.0            	|  3              	|  0.0            	|  0.0            	|
